train_acc5_step,epoch,step,train_class_loss_step,train_nce_loss_step,train_acc1_step,train_class_loss_epoch,train_nce_loss_epoch,train_acc5_epoch,train_acc1_epoch
0.0,191,73949,nan,1.6366329193115234,0.0,,,,
0.0,191,73999,nan,1.633228063583374,0.0,,,,
0.0,191,74049,nan,1.6449294090270996,0.0,,,,
0.0,191,74099,nan,1.6410868167877197,0.0,,,,
0.0,191,74149,nan,1.64491605758667,0.0,,,,
0.0,191,74199,nan,1.6394214630126953,0.0,,,,
0.0,191,74249,nan,1.6562355756759644,0.0,,,,
0.0,191,74299,nan,1.6428396701812744,0.0,,,,
,191,74303,,,,nan,1.6390255689620972,0.0,0.0
0.0,192,74349,nan,1.6328715085983276,0.0,,,,
0.0,192,74399,nan,1.632535696029663,0.0,,,,
0.0,192,74449,nan,1.6468782424926758,0.0,,,,
0.0,192,74499,nan,1.6303048133850098,0.0,,,,
0.0,192,74549,nan,1.6440163850784302,0.0,,,,
0.0,192,74599,nan,1.641455888748169,0.0,,,,
0.0,192,74649,nan,1.6200346946716309,0.0,,,,
,192,74690,,,,nan,1.6391485929489136,0.0,0.0
0.0,193,74699,nan,1.668229341506958,0.0,,,,
0.0,193,74749,nan,1.640641450881958,0.0,,,,
0.0,193,74799,nan,1.621091604232788,0.0,,,,
0.0,193,74849,nan,1.6351665258407593,0.0,,,,
0.0,193,74899,nan,1.6436655521392822,0.0,,,,
0.0,193,74949,nan,1.6372274160385132,0.0,,,,
0.0,193,74999,nan,1.6331048011779785,0.0,,,,
0.0,193,75049,nan,1.6413873434066772,0.0,,,,
,193,75077,,,,nan,1.6387996673583984,0.0,0.0
0.0,194,75099,nan,1.6491434574127197,0.0,,,,
0.0,194,75149,nan,1.6431479454040527,0.0,,,,
0.0,194,75199,nan,1.6387020349502563,0.0,,,,
0.0,194,75249,nan,1.657674789428711,0.0,,,,
0.0,194,75299,nan,1.6455473899841309,0.0,,,,
0.0,194,75349,nan,1.6454589366912842,0.0,,,,
0.0,194,75399,nan,1.6469093561172485,0.0,,,,
0.0,194,75449,nan,1.6377060413360596,0.0,,,,
,194,75464,,,,nan,1.6395481824874878,0.0,0.0
0.0,195,75499,nan,1.624791145324707,0.0,,,,
0.0,195,75549,nan,1.6364223957061768,0.0,,,,
0.0,195,75599,nan,1.6324944496154785,0.0,,,,
0.0,195,75649,nan,1.648165225982666,0.0,,,,
0.0,195,75699,nan,1.6347143650054932,0.0,,,,
0.0,195,75749,nan,1.6526237726211548,0.0,,,,
0.0,195,75799,nan,1.6524345874786377,0.0,,,,
0.0,195,75849,nan,1.6427905559539795,0.0,,,,
,195,75851,,,,nan,1.6396093368530273,0.0,0.0
0.0,196,75899,nan,1.634648084640503,0.0,,,,
0.0,196,75949,nan,1.6464871168136597,0.0,,,,
0.0,196,75999,nan,1.6334521770477295,0.0,,,,
0.0,196,76049,nan,1.6326005458831787,0.0,,,,
0.0,196,76099,nan,1.653206467628479,0.0,,,,
0.0,196,76149,nan,1.6378543376922607,0.0,,,,
0.0,196,76199,nan,1.6439523696899414,0.0,,,,
,196,76238,,,,nan,1.639206886291504,0.0,0.0
0.0,197,76249,nan,1.6391397714614868,0.0,,,,
0.0,197,76299,nan,1.6149753332138062,0.0,,,,
0.0,197,76349,nan,1.6228868961334229,0.0,,,,
0.0,197,76399,nan,1.6246533393859863,0.0,,,,
0.0,197,76449,nan,1.6273671388626099,0.0,,,,
0.0,197,76499,nan,1.6354413032531738,0.0,,,,
0.0,197,76549,nan,1.659409523010254,0.0,,,,
0.0,197,76599,nan,1.6441068649291992,0.0,,,,
,197,76625,,,,nan,1.6387081146240234,0.0,0.0
0.0,198,76649,nan,1.6350395679473877,0.0,,,,
0.0,198,76699,nan,1.6338874101638794,0.0,,,,
0.0,198,76749,nan,1.6501240730285645,0.0,,,,
0.0,198,76799,nan,1.6270530223846436,0.0,,,,
0.0,198,76849,nan,1.6479010581970215,0.0,,,,
0.0,198,76899,nan,1.6443233489990234,0.0,,,,
0.0,198,76949,nan,1.661693811416626,0.0,,,,
0.0,198,76999,nan,1.640533447265625,0.0,,,,
,198,77012,,,,nan,1.6392418146133423,0.0,0.0
0.0,199,77049,nan,1.6396842002868652,0.0,,,,
0.0,199,77099,nan,1.635251522064209,0.0,,,,
0.0,199,77149,nan,1.6548811197280884,0.0,,,,
0.0,199,77199,nan,1.634645700454712,0.0,,,,
0.0,199,77249,nan,1.6355812549591064,0.0,,,,
0.0,199,77299,nan,1.6459869146347046,0.0,,,,
0.0,199,77349,nan,1.6393179893493652,0.0,,,,
0.0,199,77399,nan,1.6218241453170776,0.0,,,,
,199,77399,,,,nan,1.6383997201919556,0.0,0.0
